word,difficulty,frequency,defined_in,1gram-score,is_profane,level
lube,7,3.11,tw/wapi,0.6098418277680141,False,medium
lust,5,3.81,tw/wapi,0.5773286467486819,False,medium
lute,8,2.77,tw/wapi,0.6660808435852373,False,easy
mace,8,3.25,tw/wapi,0.8014059753954306,False,easy
mach,8,2.81,tw/wapi,0.569420035149385,False,medium
made,1,5.74,tw/wapi,0.7759226713532514,False,easy
magi,9,2.49,tw/wapi,0.5114235500878734,False,medium
maid,5,4.25,tw/wapi,0.6915641476274166,False,easy
mail,1,4.58,tw/wapi,0.6414762741652021,False,medium
main,1,4.67,tw/wapi,0.6731107205623902,False,easy
mayo,7,3.31,tw/wapi,0.5105448154657294,False,medium
make,1,6.11,tw/wapi,0.7662565905096661,False,easy
male,1,4.57,tw/wapi,0.8400702987697715,False,easy
mali,9,3.31,tw/wapi,0.5773286467486819,False,medium
malt,7,3.26,tw/wapi,0.7407732864674869,False,easy
mane,8,3.05,tw/wapi,0.9130052724077329,False,easy
many,1,5.68,tw/wapi,0.7249560632688928,False,easy
mack,8,3.69,tw/wapi,0.6318101933216169,False,medium
manx,10,2.02,tw/wapi,0.6449912126537786,False,medium
mare,6,3.51,tw/wapi,0.9094903339191565,False,easy
mark,2,4.85,tw/wapi,0.7398945518453427,False,easy
marl,9,2.3,tw/wapi,0.6915641476274166,False,easy
mays,1,3.19,tw/wapi,0.7205623901581723,False,easy
mars,6,4.19,tw/wapi,0.8813708260105448,False,easy
mart,6,3.64,tw/wapi,0.8101933216168717,False,easy
mash,7,3.12,tw/wapi,0.5975395430579966,False,medium
mask,3,4.29,tw/wapi,0.6599297012302285,False,easy
mast,6,3.26,tw/wapi,0.7302284710017576,False,easy
mate,3,4.84,tw/wapi,0.8189806678383128,False,easy
math,3,4.16,tw/wapi,0.5869947275922671,False,medium
maul,9,2.36,tw/wapi,0.5887521968365554,False,medium
maxi,7,3.33,tw/wapi,0.4753954305799648,False,hard
maze,6,3.4,tw/wapi,0.7442882249560633,False,easy
mary,5,4.82,tw/wapi,0.7214411247803164,False,easy
mead,8,3.21,tw/wapi,0.5966608084358525,False,medium
meal,3,4.52,tw/wapi,0.546572934973638,False,medium
mean,1,6,tw/wapi,0.5782073813708261,False,medium
meat,3,4.73,tw/wapi,0.6652021089630932,False,easy
meld,8,2.56,tw/wapi,0.5193321616871704,False,medium
melt,5,3.87,tw/wapi,0.5878734622144113,False,medium
mend,7,3.51,tw/wapi,0.5922671353251318,False,medium
menu,1,4.01,tw/wapi,0.4833040421792618,False,hard
meow,8,3.41,tw/wapi,0.41388400702987704,False,hard
mesa,7,2.97,tw/wapi,0.4340949033391916,False,hard
mesh,4,2.87,tw/wapi,0.4446397188049209,False,hard
mewl,10,1.74,tw/wapi,0.39630931458699475,False,hard
mews,10,2.2,tw/wapi,0.5861159929701231,False,medium
mica,8,2.4,tw/wapi,0.4437609841827768,False,hard
mick,9,4.07,tw/wapi,0.5166959578207382,False,medium
mien,8,1.82,tw/wapi,0.5448154657293497,False,medium
mike,4,4.76,tw/wapi,0.6511423550087874,False,easy
mild,4,3.67,tw/wapi,0.5571177504393674,False,medium
mile,2,4.23,tw/wapi,0.724956063268893,False,easy
milk,2,4.71,tw/wapi,0.5553602811950792,False,medium
mind,1,5.6,tw/wapi,0.6300527240773287,False,medium
meth,6,3.52,tw/wapi,0.4340949033391916,False,hard
mine,2,5.39,tw/wapi,0.7978910369068543,False,easy
mink,8,3.24,tw/wapi,0.6282952548330405,False,medium
mint,4,3.69,tw/wapi,0.6985940246045694,False,easy
minx,9,2.9,tw/wapi,0.5298769771528999,False,medium
mire,9,2.78,tw/wapi,0.7943760984182777,False,easy
miry,9,-1,tw/wapi,0.6063268892794377,False,medium
miso,9,3.09,tw/wapi,0.476274165202109,False,hard
mist,5,3.48,tw/wapi,0.6151142355008787,False,medium
mite,7,2.92,tw/wapi,0.7038664323374342,False,easy
myth,4,3.94,tw/wapi,0.2592267135325132,False,hard
moan,6,3.6,tw/wapi,0.6783831282952548,False,easy
moat,8,2.97,tw/wapi,0.765377855887522,False,easy
mock,5,3.69,tw/wapi,0.5790861159929701,False,medium
mode,1,3.66,tw/wapi,0.7231985940246045,False,easy
mips,6,-1,tw/wapi,0.6335676625659051,False,medium
mold,4,3.49,tw/wapi,0.6195079086115993,False,medium
mole,6,3.95,tw/wapi,0.7873462214411248,False,easy
molt,9,2.03,tw/wapi,0.6880492091388402,False,easy
monk,6,4.3,tw/wapi,0.6906854130052725,False,easy
mope,10,2.82,tw/wapi,0.7240773286467488,False,easy
more,1,6.13,tw/wapi,0.8567662565905098,False,easy
morn,8,2.93,tw/wapi,0.6704745166959578,False,easy
most,1,5.56,tw/wapi,0.6775043936731108,False,easy
mods,5,2.08,tw/wapi,0.6950790861159929,False,easy
mote,8,1.97,tw/wapi,0.7662565905096661,False,easy
moth,6,3.39,tw/wapi,0.5342706502636204,False,medium
move,1,5.63,tw/wapi,0.7047451669595783,False,easy
mown,8,1.82,tw/wapi,0.5281195079086116,False,medium
msec,7,-1,tw/wapi,0.2311072056239016,False,hard
much,1,6,tw/wapi,0.40597539543058,False,hard
muck,6,3.3,tw/wapi,0.468365553602812,False,hard
mons,9,2.45,tw/wapi,0.8321616871704746,False,easy
mule,6,3.59,tw/wapi,0.6766256590509667,False,easy
muon,7,1.73,tw/wapi,0.468365553602812,False,hard
murk,10,2.08,tw/wapi,0.5764499121265378,False,medium
muse,7,3.34,tw/wapi,0.6660808435852373,False,easy
mush,8,3.31,tw/wapi,0.4340949033391916,False,hard
musk,8,2.93,tw/wapi,0.4964850615114235,False,hard
must,1,5.9,tw/wapi,0.5667838312829526,False,medium
mute,6,3.75,tw/wapi,0.655536028119508,False,easy
naif,10,1.6,tw/wapi,0.5448154657293498,False,medium
nail,4,4.22,tw/wapi,0.5913884007029877,False,medium
name,1,5.82,tw/wapi,0.7583479789103691,False,easy
nape,9,2.52,tw/wapi,0.7267135325131812,False,easy
mung,9,2.43,tw/wapi,0.5175746924428822,False,medium
nary,8,2.43,tw/wapi,0.6713532513181021,False,easy
nark,10,2.56,tw/wapi,0.6898066783831284,False,easy
nato,9,3.37,tw/wapi,0.530755711775044,False,medium
nave,8,2.73,tw/wapi,0.7073813708260106,False,easy
navy,5,4.06,tw/wapi,0.5193321616871706,False,medium
nazi,7,4.03,tw/wapi,0.4314586994727593,False,hard
near,1,4.96,tw/wapi,0.4753954305799649,False,hard
neat,4,3.93,tw/wapi,0.6151142355008787,False,medium
neck,3,4.69,tw/wapi,0.42882249560632696,False,hard
narc,10,2.93,tw/wapi,0.5869947275922672,False,medium
nerd,7,3.68,tw/wapi,0.538664323374341,False,medium
nest,4,4.05,tw/wapi,0.5272407732864676,False,medium
news,1,5.2,tw/wapi,0.5360281195079087,False,medium
newt,8,3.05,tw/wapi,0.4648506151142356,False,hard
next,1,5.66,tw/wapi,0.43585237258347986,False,hard
nice,1,5.78,tw/wapi,0.6362038664323376,False,medium
nick,5,4.69,tw/wapi,0.46660808435852386,False,hard
nigh,7,2.94,tw/wapi,0.37697715289982425,False,hard
nike,5,3.25,tw/wapi,0.601054481546573,False,medium
neap,10,1.74,tw/wapi,0.5008787346221442,False,medium
node,2,2.7,tw/wapi,0.6731107205623903,False,easy
noel,8,3.45,tw/wapi,0.5254833040421792,False,medium
norm,4,3.42,tw/wapi,0.5817223198594025,False,medium
nose,3,4.75,tw/wapi,0.7267135325131812,False,easy
nosh,10,2.43,tw/wapi,0.4947275922671355,False,hard
nosy,9,3.49,tw/wapi,0.5386643233743411,False,medium
